category,correct_response,game,value,clue
CRITTERS,Casablanca,"Show #2988 - Wednesday, September 3, 1997",200,"As Rick, Bogart said he came to this city, Morocco's main port, for the waters"
"""BOTTOM""S UP",John D. Rockefeller,"Show #2988 - Wednesday, September 3, 1997",200,His first millions from Standard Oil came from oil mainly used in kerosene lamps
BIBLICAL FASHION,Yeti/Abominable Snowman,"Show #2988 - Wednesday, September 3, 1997",200,Giant footprints in the snow are thought to support the existence of this Himalayan creature
POP ALBUMS,Coat (of many colors),"Show #2988 - Wednesday, September 3, 1997",400,"Envious of Joseph, his brothers stripped him of this garment & cast him into a pit"
AROUND THE DUNGEON,Jimmy Olsen,"Show #2988 - Wednesday, September 3, 1997",400,"In 1996 Jack Larson guest-starred on ""Lois & Clark"" in this role he played on the original TV ""Superman"""
THE MOON,Lobster,"Show #2988 - Wednesday, September 3, 1997",400,"This crustacean turns bright red when boiled, not when embarrassed"
CRITTERS,Belfast,"Show #2988 - Wednesday, September 3, 1997",400,"Like London, this capital of Northern Ireland was damaged by WWII German bombs"
"""BOTTOM""S UP",Cornelius Vanderbilt,"Show #2988 - Wednesday, September 3, 1997",400,"Asked how his business acumen would affect the public, he said, ""The public be damned!"""
BIBLICAL FASHION,Gremlins,"Show #2988 - Wednesday, September 3, 1997",400,Wartime British pilots coined this term for the goblins messing with their airplanes
POP ALBUMS,Jericho,"Show #2988 - Wednesday, September 3, 1997",600,"Achan admitted to Joshua that from the spoils of this city he took a ""Goodly Babylon Garment"""
AROUND THE DUNGEON,"""Mary Hartman, Mary Hartman""","Show #2988 - Wednesday, September 3, 1997",600,"It starred Louise Lasser, Louise Lasser in the title role"
THE MOON,Longitude,"Show #2988 - Wednesday, September 3, 1997",600,"The prime meridian meets the equator at 0 degrees latitude, 0 degrees this"
CRITTERS,Ottawa,"Show #2988 - Wednesday, September 3, 1997",600,"To party, Canada's civil servants often cross the river from this city to Hull, Quebec"
"""BOTTOM""S UP",Andrew Carnegie,"Show #2988 - Wednesday, September 3, 1997",600,"When salaries were cut at his Homestead steel mill & workers struck, he was on vacation in Scotland"
BIBLICAL FASHION,Cyclops/Polyphemus,"Show #2988 - Wednesday, September 3, 1997",600,Sinbad the Sailor had trouble with a one-eyed giant similar to the one Ulysses called this
POP ALBUMS,Sackcloth,"Show #2988 - Wednesday, September 3, 1997",800,It was the garb of the penitent & those in mourning & was often worn with ashes
AROUND THE DUNGEON,Pine Valley,"Show #2988 - Wednesday, September 3, 1997",800,"""General Hospital"" is set in Port Charles & ""All My Children"" is set in this fictional town"
THE MOON,Larceny,"Show #2988 - Wednesday, September 3, 1997",800,Petty this (stealing property) is usually a misdemeanor; grand is usually a felony
CRITTERS,Da Nang,"Show #2988 - Wednesday, September 3, 1997",800,"Site of a huge U.S. airbase in the '60s, this central Vietnamese port is now a city of over 300,000"
"""BOTTOM""S UP",J.P. Morgan,"Show #2988 - Wednesday, September 3, 1997",800,He arranged a $65 million loan to the U.S. government & guaranteed New York City $30 million
BIBLICAL FASHION,Banshees,"Show #2988 - Wednesday, September 3, 1997",800,An Irish man's greatness can be gauged by how many of these moaning spirits foretell his death
POP ALBUMS,Aaron,"Show #2988 - Wednesday, September 3, 1997",1000,Golden bells & pomegranates were to adorn the hem of the robe of this brother of Moses
AROUND THE DUNGEON,McGillicuddy,"Show #2988 - Wednesday, September 3, 1997",1000,"On ""I Love Lucy"", it was Lucy Ricardo's maiden name"
THE MOON,Lute,"Show #2988 - Wednesday, September 3, 1997",,(VIDEO Daily Double):
CRITTERS,Zaire (Democratic Republic of the Congo),"Show #2988 - Wednesday, September 3, 1997",1000,"In March 1997, rebels against the Mobutu regime captured Kisangani in this country"
"""BOTTOM""S UP",Charles Merrill,"Show #2988 - Wednesday, September 3, 1997",,"Reportedly, this partner of Lynch once sold newspapers for men to hide behind in a red-light district"
BIBLICAL FASHION,Werewolves,"Show #2988 - Wednesday, September 3, 1997",1000,16th century France was plagued with reports of these shape-shifters the French call loups-garous
GIANTS,Paul Bunyan,"Show #2992 - Tuesday, September 9, 1997",100,Audrey Wood & David Shannon's new book about this great big logger introduces his wife & kids
"""FEE"", ""FI"", ""FO"", ""FUM""",Goliath,"Show #2992 - Tuesday, September 9, 1997",100,"Before David cut off his head, this Philistine giant stood ""six cubits and a span"""
I SMELL,Feeble,"Show #2992 - Tuesday, September 9, 1997",100,"Physically weak, or weak-""minded"""
THE BLOOD,Halitosis,"Show #2992 - Tuesday, September 9, 1997",100,I'm the medical term for bad breath
OF AN ENGLISHMAN,Oxygen,"Show #2992 - Tuesday, September 9, 1997",100,"In the lungs, this element joins with the iron in hemoglobin"
CARRYING ON,Edinburgh,"Show #2992 - Tuesday, September 9, 1997",100,Prince Charles is the Duke of Cornwall & Prince Philip is the Duke of this
GIANTS,"""The Berenstain Bears""","Show #2992 - Tuesday, September 9, 1997",200,Stan & Jan Berenstain have written a series of books about a family of these title animals
"""FEE"", ""FI"", ""FO"", ""FUM""",Windmills,"Show #2992 - Tuesday, September 9, 1997",200,"With his overactive imagination, Don Quixote thought these objects were giants"
I SMELL,Fireman,"Show #2992 - Tuesday, September 9, 1997",200,"""He wears red suspenders"" to hold his pants up"
THE BLOOD,Napalm,"Show #2992 - Tuesday, September 9, 1997",200,"I'm the substance that ""Apocalypse Now""'s Robert Duvall loves the smell of ""in the morning"""
OF AN ENGLISHMAN,Red Blood Cells,"Show #2992 - Tuesday, September 9, 1997",200,"Put a test tube of blood in a centrifuge, spin it, & these cells will go to the bottom"
CARRYING ON,Valet,"Show #2992 - Tuesday, September 9, 1997",200,"From Latin for ""servant"", it's a gentleman's gentleman"
GIANTS,"""Charlotte\'s Web""","Show #2992 - Tuesday, September 9, 1997",300,Cavatica is the last name of the title character of this 1952 E.B. White novel
"""FEE"", ""FI"", ""FO"", ""FUM""",King Kong,"Show #2992 - Tuesday, September 9, 1997",300,This giant ape threatens tourist trams at Universal Studios
I SMELL,Focus/Focal Length,"Show #2992 - Tuesday, September 9, 1997",300,It's the length a lens will go to work
THE BLOOD,Sulphur,"Show #2992 - Tuesday, September 9, 1997",300,"I'm a chemical element that's odorless,  but in combination with hydrogen, smells like rotten eggs"
BORN IN THE '60S,Alex Haley,"Show #2990 - Friday, September 5, 1997",100,"""The Autobiography of Malcolm X"" was ""told to"" this deeply rooted author"
CARRYING ON,Snooker,"Show #2992 - Tuesday, September 9, 1997",300,"Encarta calls it ""The cue game most popular in Britain"""
GIANTS,The Little Prince,"Show #2992 - Tuesday, September 9, 1997",400,This character in a book by Saint-Exupery leaves his tiny planet because of a prideful flower
"""FEE"", ""FI"", ""FO"", ""FUM""",The Jolly Green Giant,"Show #2992 - Tuesday, September 9, 1997",400,"In 1950 the Minnesota Valley Canning Co. took a new name from this, its symbol"
I SMELL,Fumble,"Show #2992 - Tuesday, September 9, 1997",400,Elway error
THE BLOOD,Frankincense & Myrrh,"Show #2992 - Tuesday, September 9, 1997",400,We're the 2 fragrant gifts the wise men brought to the baby Jesus
OF AN ENGLISHMAN,HIV,"Show #2992 - Tuesday, September 9, 1997",400,"In AIDS this virus destroys the CD4 lymphocytes, a type of white blood cell"
CARRYING ON,Bowler,"Show #2992 - Tuesday, September 9, 1997",,Last name of the men whose firm is credited with creating the felt hat we call the derby
GIANTS,Caldecott Medal,"Show #2992 - Tuesday, September 9, 1997",500,"The cut-paper illustrations of ""Golem"" earned David Wisniewski this medal in 1997"
"""FEE"", ""FI"", ""FO"", ""FUM""",Argus,"Show #2992 - Tuesday, September 9, 1997",500,"In mythology, this hundred-eyed giant eventually ended up a peacock"
I SMELL,"""Fee Fee Fi Fi Fo Fo Fum""","Show #2992 - Tuesday, September 9, 1997",500,"In the song ""Charlie Brown"", it precedes ""I smell smoke in the auditorium"""
THE BLOOD,Brut,"Show #2992 - Tuesday, September 9, 1997",500,"I am the Faberge aftershave marketed as ""The Essence of Man"""
CARRYING ON,Savile Row,"Show #2992 - Tuesday, September 9, 1997",500,"""Row"" in Mayfair that's home to the finest British tailors"
GIANTS,Jim Carrey,"Show #2992 - Tuesday, September 9, 1997",200,"In 1997 Universal made a ""Liar Liar"" out of him"
I SMELL,Moscow,"Show #2992 - Tuesday, September 9, 1997",200,"In 1963 a ""Hot Line"" emergency link went into effect between Washington, DC & this world city"
SKYSCRAPER CITIES,Run-D.M.C.,"Show #2990 - Friday, September 5, 1997",100,"NYC minister Joseph Simmons is better known as ""Run"" of this rap group"
JACKIE ROBINSON,Boston,"Show #2990 - Friday, September 5, 1997",100,John Hancock Tower
HOT WHEELS,Ebbets Field,"Show #2990 - Friday, September 5, 1997",100,"Jackie's historic major league debut came April 15, 1947 at this Brooklyn Dodgers home park"
"RUNNING ON ""M.T.""",James Bond,"Show #2990 - Friday, September 5, 1997",100,"In 1964 this movie spy was driving an Aston Martin DB5; in 1995, a BMW Z3"
ANCIENT NEWS BULLETINS,Mr. T,"Show #2990 - Friday, September 5, 1997",100,"He was always ""A-Team"" player"
BORN IN THE '60S,Johnny Appleseed,"Show #2990 - Friday, September 5, 1997",200,This legendary fruit tree planter was the subject of a work by Vachel Lindsay
SKYSCRAPER CITIES,George Stephanopoulos,"Show #2990 - Friday, September 5, 1997",200,"After the 1996 election, this 35-year-old Clinton adviser moved to ABC News"
JACKIE ROBINSON,Atlanta,"Show #2990 - Friday, September 5, 1997",200,Westin Peachtree Plaza
HOT WHEELS,Second Base,"Show #2990 - Friday, September 5, 1997",200,"Jackie played most of his career at this position, next to shortstop Pee Wee Reese"
"RUNNING ON ""M.T.""",Pontiac,"Show #2990 - Friday, September 5, 1997",200,"It promotes its wide track Grand Prix as ""wider is better"""
ANCIENT NEWS BULLETINS,Margaret Thatcher,"Show #2990 - Friday, September 5, 1997",200,"This P.M. of England said her objective was to ""destroy Socialism"""
BORN IN THE '60S,,"Show #2990 - Friday, September 5, 1997",300,"Title of Tom Wolfe's 1979 book about men he described as ""single-combat warriors"""
SKYSCRAPER CITIES,Garry Kasparov,"Show #2990 - Friday, September 5, 1997",300,"In 1996, he beat a chess-playing IBM computer called Deep Blue; in 1997 the tables were turned"
JACKIE ROBINSON,New York City,"Show #2990 - Friday, September 5, 1997",300,Chrysler Building
HOT WHEELS,UCLA,"Show #2990 - Friday, September 5, 1997",300,"Jackie, born in Georgia, grew up around L.A. & starred in 4 sports at this university"
THE BLOOD,His Heel,"Show #2992 - Tuesday, September 9, 1997",200,"Uh-Oh:  When Achilles' mother dipped him in the river Styx, she held him by this, leaving it vulnerable"
OF AN ENGLISHMAN,Impossible Mission Force (IMF),"Show #2992 - Tuesday, September 9, 1997",200,"If you're part of this group & are caught, the secretary will disavow any knowledge of your actions"
CARRYING ON,"""Why Not?""","Show #2992 - Tuesday, September 9, 1997",200,"Robert Kennedy liked to say that some men see things & ask why, but he dreamed things & asked this"
GIANTS,Cary Grant,"Show #2992 - Tuesday, September 9, 1997",400,"If this ""North By Northwest"" star had not gone another direction, he might have taken the name Cary Lockwood"
"""FEE"", ""FI"", ""FO"", ""FUM""",Fidel Castro,"Show #2992 - Tuesday, September 9, 1997",400,"In the 1950s he did time on Isla de Pinos; since 1959, he's ruled a larger island"
I SMELL,Haiti,"Show #2992 - Tuesday, September 9, 1997",400,"Jean Jacques Dessalines, brought to this island country as a slave, declared its independence in 1804"
THE BLOOD,The Trojan Horse,"Show #2992 - Tuesday, September 9, 1997",400,"The Trojans wouldn't heed Cassandra's warning to beware of this ""steed"""
OF AN ENGLISHMAN,Jim Nabors,"Show #2992 - Tuesday, September 9, 1997",,"(AUDIO Daily Double):  Impossible as it may sound, '60s sitcom star heard here:  ""To dream, the impossible dream, to fight the unbeatable foe...."""
CARRYING ON,Is the Pope Catholic?,"Show #2992 - Tuesday, September 9, 1997",400,This query about a pontiff's religion is used in response to a silly question
GIANTS,Carrie Fisher,"Show #2992 - Tuesday, September 9, 1997",600,She wrote her & her mother's speeches for the American Comedy Awards & was on the 1997 Oscar writing staff
"""FEE"", ""FI"", ""FO"", ""FUM""",Riker\'s Island,"Show #2992 - Tuesday, September 9, 1997",600,"This island between Queens & the Bronx has correctional facilities for men, women & teens"
I SMELL,Netherlands (Holland),"Show #2992 - Tuesday, September 9, 1997",600,"After a 50-year active reign, Wilhelmina stepped down as queen of this country in 1948"
THE BLOOD,Medusa,"Show #2992 - Tuesday, September 9, 1997",600,"She foolishly fooled around with Poseidon in Athena's temple, so Athena turned her hair into snakes"
"RUNNING ON ""M.T.""",USA,"Show #2990 - Friday, September 5, 1997",300,Country in which Toyota builds most of its Camrys
ANCIENT NEWS BULLETINS,Mike Tyson,"Show #2990 - Friday, September 5, 1997",300,"In 1989 he was the WBC's, WBA's, & IBF's heavyweight champ"
BORN IN THE '60S,,"Show #2990 - Friday, September 5, 1997",400,"As the first, it jump-started John Updike's series of novels about Harry Angstrom"
SKYSCRAPER CITIES,Juliette Binoche & Kristen Scott-Thomas,"Show #2990 - Friday, September 5, 1997",400,"1 of the 2 30-something female leads of ""The English Patient"""
JACKIE ROBINSON,Pittsburgh,"Show #2990 - Friday, September 5, 1997",400,USX Tower
HOT WHEELS,Rookie of the Year,"Show #2990 - Friday, September 5, 1997",400,"At age 28, Robinson won the very first of these awards for first-year players"
"RUNNING ON ""M.T.""",Volkswagen,"Show #2990 - Friday, September 5, 1997",400,"In the same class are the Ford Contour SVT, the Saab 900S & this company's Jetta GLX"
ANCIENT NEWS BULLETINS,Mark Twain,"Show #2990 - Friday, September 5, 1997",400,Author who had Tom cruise on the Mississippi
BORN IN THE '60S,"""The Gift of the Magi""","Show #2990 - Friday, September 5, 1997",500,"This famous tale of Christmas presents isn't one in a million, but one in O Henry's book ""The Four Million"""
SKYSCRAPER CITIES,Microsoft,"Show #2990 - Friday, September 5, 1997",500,"29-year-old Melinda French, a manager at this company, married its chairman January 1, 1994"
TELEVISION,Adultery,"Show #2989 - Thursday, September 4, 1997",100,"According to Leviticus 20:10, it's death to both parties involved who committeth this"
OF AN ENGLISHMAN,Chiquita Bananas,"Show #2992 - Tuesday, September 9, 1997",600,"""You can put them in a pie-aye/any way you want to eat them/it's impossible to beat them"""
CARRYING ON,,"Show #2992 - Tuesday, September 9, 1997",600,In a 1988 film Bob Hoskins must enter Toontown to answer this title question
GIANTS,Drew Carey,"Show #2992 - Tuesday, September 9, 1997",800,"This sitcom star won a Cableace Award for his ""Human Cartoon"" special"
"""FEE"", ""FI"", ""FO"", ""FUM""",Australia,"Show #2992 - Tuesday, September 9, 1997",800,Cockatoo Island is a former prison in this country settled by prisoners
I SMELL,The Boer War,"Show #2992 - Tuesday, September 9, 1997",,Soldier & statesman Louis Botha helped negotiate the terms that ended this war in 1902
THE BLOOD,Atlas,"Show #2992 - Tuesday, September 9, 1997",800,"This Titan made the mistake of waging war against Zeus, so he was doomed to hold the sky on his shoulders"
OF AN ENGLISHMAN,Napoleon Bonaparte,"Show #2992 - Tuesday, September 9, 1997",800,"In an 1813 letter this leader wrote, ""You write to me that it's impossible; the word is not French"""
CARRYING ON,"""Where Have All the Flowers Gone?""","Show #2992 - Tuesday, September 9, 1997",800,"Melancholy Pete Seeger song that asks, ""When will they ever learn?"""
GIANTS,Cary Elwes,"Show #2992 - Tuesday, September 9, 1997",1000,"He played Josef in ""The Bride"" & Westley in ""The Princess Bride"""
I SMELL,York,"Show #2992 - Tuesday, September 9, 1997",1000,England's Richard III was the last king of this ruling house
THE BLOOD,Hercules,"Show #2992 - Tuesday, September 9, 1997",1000,"Linus the Music Teacher was too critical of this ""labor""er, his pupil, who hit him with a lyre & killed him"
OF AN ENGLISHMAN,Elizabeth Barrett Browning,"Show #2992 - Tuesday, September 9, 1997",1000,"""Whoso loves believes the impossible"", wrote this love of poet Robert in her own beguiling way"
CARRYING ON,"""And when did he know it?""","Show #2992 - Tuesday, September 9, 1997",1000,"The second half of Senator Howard Baker's 1973 question that began, ""What did the president know?"""
JACKIE ROBINSON,Minneapolis,"Show #2990 - Friday, September 5, 1997",500,Pillsbury Center
HOT WHEELS,Branch Rickey,"Show #2990 - Friday, September 5, 1997",500,"Hall of Fame executive who went out on a ""limb"" to bring Robinson to the majors"
"RUNNING ON ""M.T.""",Porsche,"Show #2990 - Friday, September 5, 1997",500,The 1997 Boxster was the first new sports car from this 911 maker in 19 years
ANCIENT NEWS BULLETINS,"""Money Train""","Show #2990 - Friday, September 5, 1997",,(VIDEO Daily Double): 1995 film seen here: (clue:  Wesley Snipes)
BORN IN THE '60S,Julius Caesar,"Show #2990 - Friday, September 5, 1997",200,This Roman leader reforms the calendar; will wife Calpurnia be Miss July?  Scroll at 6
SKYSCRAPER CITIES,Fossils,"Show #2990 - Friday, September 5, 1997",200,"In the 16th C., Konrad von Gesner published perhaps the first illustrations of these petrified animal remains"
JACKIE ROBINSON,Ex-Lax,"Show #2990 - Friday, September 5, 1997",200,"A fig-flavored version of this ""Excellent Laxative"" didn't go over, so the company stuck with chocolate"
HOT WHEELS,Business,"Show #2990 - Friday, September 5, 1997",200,"""The....business of America"" is this"
"RUNNING ON ""M.T.""","""The Color of Money""","Show #2990 - Friday, September 5, 1997",200,"Paul Newman reprised his role as Fast Eddie Felson in this 1986 sequel to ""The Hustler"""
ANCIENT NEWS BULLETINS,Paralegal,"Show #2990 - Friday, September 5, 1997",200,Attorney assistant
BORN IN THE '60S,Pyrenees/Alps,"Show #2990 - Friday, September 5, 1997",400,Hannibal on way to attack Rome leads battle elephants over these mountains; the full history at 11
SKYSCRAPER CITIES,Heinrich Hertz,"Show #2990 - Friday, September 5, 1997",400,"In 1887 this German was ""in the driver's seat"" on the subject of electromagnetic waves"
JACKIE ROBINSON,ChapStick,"Show #2990 - Friday, September 5, 1997",400,In 1971 flavors were added to this lip balm invented by Dr. C.D. Fleet in the 1880s
FRUITS & VEGETABLES,Mr. Ed,"Show #2989 - Thursday, September 4, 1997",100,"The owner of the stud farm where this ""talking"" horse was bred is seeking landmark status for the site"
BEFORE & AFTER,Green,"Show #2989 - Thursday, September 4, 1997",100,The usual color of the flesh of a honeydew melon
SHOPPING U.S.A.,Stevie Wonder Bread,"Show #2989 - Thursday, September 4, 1997",100,"""Superstition"" singer that builds strong bodies 12 ways"
TINSELTOWN TERMS,Dandelion,"Show #2989 - Thursday, September 4, 1997",100,"During World War II, the Russian species of this yellow lawn weed was used as a source of rubber"
TELEVISION,The Lord,"Show #2989 - Thursday, September 4, 1997",200,Blasphemeth his name & it's bye-bye you
FRUITS & VEGETABLES,"""Home Improvement""","Show #2989 - Thursday, September 4, 1997",200,"""Men Are Pigs"", Tim Allen's Showtime special about men's love for hardware, inspired this series"
BEFORE & AFTER,Green Onion,"Show #2989 - Thursday, September 4, 1997",200,"The scallion is also known as this ""onion"""
SHOPPING U.S.A.,"""Sally Field And Stream""","Show #2989 - Thursday, September 4, 1997",200,"Outdoor magazine that says ""You like me....you really like me"""
RUBBER,Memphis,"Show #2989 - Thursday, September 4, 1997",200,Elvis Presley Enterprises owns several gift shops in this city; they're all close to Graceland
TINSELTOWN TERMS,"Akron, Ohio","Show #2989 - Thursday, September 4, 1997",200,"This U.S. city has been called ""The Rubber Capital of the World"""
TELEVISION,Die,"Show #2989 - Thursday, September 4, 1997",300,"Exodus 21:12 says if you smiteth a man so much that he does this, so do you"
FRUITS & VEGETABLES,VH1,"Show #2989 - Thursday, September 4, 1997",,(
BEFORE & AFTER,Green Bean,"Show #2989 - Thursday, September 4, 1997",300,It's also called a snap bean from the sound it makes when broken in half
SHOPPING U.S.A.,"""O Captain! My Captain Kangaroo""","Show #2989 - Thursday, September 4, 1997",300,Walt Whitman poem about Mr. Green Jeans' buddy
LAST NAME'S THE SAME,Mississippi,"Show #2991 - Monday, September 8, 1997",100,"When Thomas Jefferson took office in March, 1801, this river formed the western U.S. boundary"
HOT WHEELS,He was against it,"Show #2990 - Friday, September 5, 1997",400,"When asked what a clergyman preaching about sin had said, Coolidge said this"
"RUNNING ON ""M.T.""","""Fievel Goes West""","Show #2990 - Friday, September 5, 1997",400,"In 1991 the Mousekewitz family was re-animated for this sequel to ""An American Tail"""
ANCIENT NEWS BULLETINS,Parasite,"Show #2990 - Friday, September 5, 1997",400,"A professional dinner guest in ancient Greece, or a tick"
BORN IN THE '60S,Silk,"Show #2990 - Friday, September 5, 1997",600,Chinese monopoly on this fabric ended in 6th century as 2 monks smuggle out worms; new material at 11
SKYSCRAPER CITIES,DNA,"Show #2990 - Friday, September 5, 1997",600,"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory"
JACKIE ROBINSON,Right Guard,"Show #2990 - Friday, September 5, 1997",600,"Deciding in the 1950s to expand its line, Gillette left competitors behind with this men's deodorant"
HOT WHEELS,"""True""","Show #2990 - Friday, September 5, 1997",600,"About the famous sin quote, Coolidge once said it would be funnier if it were this"
"RUNNING ON ""M.T.""","""The Two Jakes""","Show #2990 - Friday, September 5, 1997",600,"In 1990 Jack Nicholson directed & starred in this sequel to ""Chinatown"""
ANCIENT NEWS BULLETINS,Paratrooper,"Show #2990 - Friday, September 5, 1997",600,"Barbara Frietchie might tell one of these soldiers to ""Chute if you must"""
BORN IN THE '60S,Alexander the Great,"Show #2990 - Friday, September 5, 1997",800,"Philip II assassinated, this son takes the throne; the not-so-great news on Macedonian Journal Tonight"
SKYSCRAPER CITIES,Montgolfier,"Show #2990 - Friday, September 5, 1997",,In 1783 these brothers were walking on air after being named to the French Academy of Sciences
RUBBER,Caesars Palace,"Show #2989 - Thursday, September 4, 1997",300,This Las Vegas hotel-casino is known for its Appian Way plaza shops as well as its Forum shops
TINSELTOWN TERMS,Charles Goodyear,"Show #2989 - Thursday, September 4, 1997",300,In the 1830s this inventor bought the rights to a process for treating rubber with sulfur
TELEVISION,Stoning,"Show #2989 - Thursday, September 4, 1997",400,St. Stephen became the first Christian martyr after being killed by this method
FRUITS & VEGETABLES,"""Happy Days""","Show #2989 - Thursday, September 4, 1997",400,"""Laverne & Shirley"" was the top show of 1977-78; this series from which it was spun off was No. 2"
BEFORE & AFTER,Greens,"Show #2989 - Thursday, September 4, 1997",400,"Term for the edible leaves of the turnip, beet & collard"
SHOPPING U.S.A.,"""The Christian Science Monitor Lizard""","Show #2989 - Thursday, September 4, 1997",400,Daily newspaper of the group founded by Mary Baker Eddy's komodo dragon
RUBBER,Quincy Market,"Show #2989 - Thursday, September 4, 1997",400,"Now a trendy shopping area, this marketplace near Boston's Faneuil Hall dates from 1826"
TINSELTOWN TERMS,MacIntosh,"Show #2989 - Thursday, September 4, 1997",400,In 1823 he cemented 2 pieces of wool with a rubber compound to create the garment now named for him
TELEVISION,witch,"Show #2989 - Thursday, September 4, 1997",500,"According to Exodus, ""Thou shalt not suffer"" one of these ""to live"""
FRUITS & VEGETABLES,Suzanne Pleshette,"Show #2989 - Thursday, September 4, 1997",500,"In ""Newhart""'s final episode, Bob Newhart woke up with this former TV wife by his side"
LEGENDARY LIONS,Keaton,"Show #2991 - Monday, September 8, 1997",100,"Michael,"
PHOTO OPS,Cowardly Lion,"Show #2991 - Monday, September 8, 1997",100,"He sang, ""With my regal beezer, I could be another Caesar if I only had the nerve"""
TRIBES,Plymouth Rock,"Show #2991 - Monday, September 8, 1997",100,Ocean Spray's Cranberry World visitors' center is berry close to this site of the Pilgrims' landing
NUN SENSE,Grand Canyon,"Show #2991 - Monday, September 8, 1997",100,The Havasupai have been living in a branch of this canyon for over 600 years
NEWS STORIES OF THE 1700S,"""Take the Veil""","Show #2991 - Monday, September 8, 1997",100,"To become a nun is to ""take"" this article of clothing also worn by brides"
LAST NAME'S THE SAME,John Sherman,"Show #2991 - Monday, September 8, 1997",200,In 1890 this GOP senator from Ohio sponsored an antitrust act & the Silver Purchase Act
LEGENDARY LIONS,Jackson,"Show #2991 - Monday, September 8, 1997",200,"Michael,"
PHOTO OPS,Leo the Lion,"Show #2991 - Monday, September 8, 1997",200,Slats & Tanner were 2 of the lions that have played this MGM trademark
TRIBES,Piccadilly Circus,"Show #2991 - Monday, September 8, 1997",200,"This London ""circus"" takes its name from the home of a 17th c. tailor who sold a type of high collar"
NUN SENSE,Tepees,"Show #2991 - Monday, September 8, 1997",200,The Blackfeet lived in these structures & decorated them with paintings of real & mythical creatures
NEWS STORIES OF THE 1700S,Vows,"Show #2991 - Monday, September 8, 1997",200,"These promises which a nun is said to take, not make, may be simple or solemn"
LAST NAME'S THE SAME,Kofi Annan,"Show #2991 - Monday, September 8, 1997",300,In 1997 this U.N. secy.-general became the first international guest of President Clinton's second term
LEGENDARY LIONS,Crawford,"Show #2991 - Monday, September 8, 1997",300,"Michael,"
PHOTO OPS,Simba,"Show #2991 - Monday, September 8, 1997",300,"In the 1994 film, he's the lion who grows up to become ""The Lion King"""
TRIBES,Space Needle,"Show #2991 - Monday, September 8, 1997",300,A glass elevator leads to the observation deck at the top of this 600' symbol of the 1962 Seattle World's Fair
JACKIE ROBINSON,Cover Girl,"Show #2990 - Friday, September 5, 1997",800,"This ""Clean Makeup"" used ingredients of Noxzema as its base"
HOT WHEELS,"""You Lose!""","Show #2990 - Friday, September 5, 1997",800,His reply to a woman who said she'd made a bet she could get more than 2 words out of him
"RUNNING ON ""M.T.""","""Texasville""","Show #2990 - Friday, September 5, 1997",800,"Nearly 20 years after ""The Last Picture Show"", many of the cast members reunited for this sequel"
ANCIENT NEWS BULLETINS,Paraguay,"Show #2990 - Friday, September 5, 1997",800,Robert E. Service is currently in service as the U.S. ambassador to it
BORN IN THE '60S,Hammurabi,"Show #2990 - Friday, September 5, 1997",1000,This sixth king of Babylonia codifies laws; we'll tell you what will get you killed tonight at 11
SKYSCRAPER CITIES,Electricity,"Show #2990 - Friday, September 5, 1997",1000,"In 1791 Galvani published ""Commentary on the effect of"" this ""on muscular motion"""
JACKIE ROBINSON,Bufferin,"Show #2990 - Friday, September 5, 1997",1000,In 1948 Bristol-Myers added antacids to aspirin & created this product
HOT WHEELS,Strike,"Show #2990 - Friday, September 5, 1997",,"""There is no right to"" do this ""against the public safety by anybody, anywhere, any time"""
"RUNNING ON ""M.T.""","""Curly\'s Gold""","Show #2990 - Friday, September 5, 1997",1000,"It's all ""Crystal"" clear, the sequel to ""City Slickers"" was subtitled ""The Legend of"" this"
ANCIENT NEWS BULLETINS,Paraphernalia,"Show #2990 - Friday, September 5, 1997",1000,All the equipment used for a particular activity
BEFORE & AFTER,Red,"Show #2989 - Thursday, September 4, 1997",500,A mature Rome beauty apple has skin of this color
SHOPPING U.S.A.,Ayn Rand McNally,"Show #2989 - Thursday, September 4, 1997",500,"""Atlas Shrugged"" atlas maker"
RUBBER,Olivera Street,"Show #2989 - Thursday, September 4, 1997",500,This L.A. street noted for its Mexican handicrafts is named for Los Angeles' first county judge
TINSELTOWN TERMS,Joseph Priestley,"Show #2989 - Thursday, September 4, 1997",500,In 1770 this oxygen discoverer found that rubber could be used to erase pencil marks
TELEVISION,a dolly,"Show #2989 - Thursday, September 4, 1997",200,The camera might travel on this wheeled platform to track a character down Madison Ave.
FRUITS & VEGETABLES,the Gulf of Tonkin,"Show #2989 - Thursday, September 4, 1997",200,"On August 2, 1964 a U.S. destroyer was attacked by the North Vietnamese in this gulf"
BEFORE & AFTER,dental floss,"Show #2989 - Thursday, September 4, 1997",200,"Wind 12-18"" of it around your index fingers, slip it between 2 teeth to the gum & scrape both sides"
SHOPPING U.S.A.,,"Show #2989 - Thursday, September 4, 1997",200,"""Before I left the castle I so fixed its entrances that never more can the Count enter there un-dead."""
RUBBER,horse races,"Show #2989 - Thursday, September 4, 1997",200,Big ones first held in the 1860s include Canada's Queen's Plate & the Belmont Stakes
TINSELTOWN TERMS,a blitz,"Show #2989 - Thursday, September 4, 1997",200,"In this football play, linebackers rush a quarterback to sack him"
